work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size
2022,2,2,130000,100,2,1
2022,2,2,115000,100,2,1
2022,2,2,110500,100,2,1
2022,2,2,130000,100,2,1
2022,2,0,99050,100,2,1
2022,2,2,160000,100,2,1
2022,2,4,205300,0,2,2
2022,2,4,140400,0,2,2
2022,2,4,176000,100,2,1
2022,2,4,144000,100,2,1
2022,2,2,200100,100,2,1
2022,2,2,160000,100,2,1
2022,2,2,145000,100,2,1
2022,2,2,70500,0,2,1
2022,2,4,205300,0,2,1
2022,2,4,140400,0,2,1
2022,2,6,205300,0,2,1
2022,2,6,184700,0,2,1
2022,2,2,175100,100,2,1
2022,2,2,140250,100,2,1
2022,2,0,116150,100,2,1
2022,2,2,54000,0,2,1
2022,2,0,170000,100,2,1
2022,1,0,65438,0,2,1
2022,2,0,80000,100,2,1
2022,2,4,140000,100,2,1
2022,2,4,210000,100,2,1
2022,2,4,140000,100,2,1
2022,2,0,100000,100,2,1
2022,2,0,69000,100,2,1
2022,2,4,210000,100,2,1
2022,2,4,140000,100,2,1
2022,2,4,210000,100,2,1
2022,2,0,150075,100,2,1
2022,2,2,100000,100,2,1
2022,2,2,25000,100,2,1
2022,2,0,126500,100,2,1
2022,2,0,106260,100,2,1
2022,2,2,220110,100,2,1
2022,2,2,160080,100,2,1
2022,2,0,105000,100,2,1
2022,2,0,110925,100,2,1
2022,1,0,45807,0,2,1
2022,2,4,140000,100,2,1
2022,2,0,99000,0,2,1
2022,2,0,60000,100,2,1
2022,2,1,192564,100,2,1
2022,2,1,144854,100,2,1
2022,2,4,230000,100,2,1
2022,2,4,150000,100,2,1
2022,2,6,150260,100,2,1
2022,2,6,109280,100,2,1
2022,2,4,210000,100,2,1
2022,2,0,170000,100,2,1
2022,1,4,160000,100,2,1
2022,1,4,130000,100,2,1
2022,0,0,67000,0,2,1
2022,0,0,52000,0,2,1
2022,2,2,154000,100,2,1
2022,2,2,126000,100,2,1
2022,2,0,129000,0,2,1
2022,2,0,150000,100,2,1
2022,1,6,200000,100,2,2
